commitMsg,changeType,bugFix,featureAddition,performanceImprovement
"Merge `Rename CachedBluetoothDevice.setMemberDevice to addMemberDevice` am: 0bec859fb5          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2086903          Change-Id: I3d9cf93f3bc9e7ea7f40d9cd622bc4497fec5f99     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Still more libcore benchmarks migrated to Crystal Ball.          Test: atest {TestName}     Change-Id: I9e67814d011fc13a9a2cf57f2bf543ba89d9aaa2     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Rename CachedBluetoothDevice.setMemberDevice to addMemberDevice`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Libcore VarHandle generator script and tests.          Test: atest {TestName}     Change-Id: I6df071657a8d04ed4dd4c00ac4f4e2e941c91322     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge changes from topic `fscklog_f2fs` am: 65e07d31d4          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2085723          Change-Id: I01b85c4b4a33b6f89974a3eb241ee5f184aae96e     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Keep the fsck log in /dev/fscklogs/fsck for bug report am: c30d209f5f          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2083809          Change-Id: I99fea1d06ef3635d65c2563d1b2e91b454ab02e0     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge changes from topic `fscklog_f2fs`          * changes:     Upload f2fs fscklog     Keep the fsck log in /dev/fscklogs/fsck for bug report     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"UserDataPreparer: fix volume preparation order          Internal storage must be prepared before adoptable storage, since the     user's volume keys are stored in their internal storage.  Previously,     the order depended on the Java hashcodes of the volume IDs.  It seems     that in practice things sort of worked out anyway even with the wrong     order, via a bizarre sequence of events involving the user's storage     being deleted and re-created several times.  Regardless, let's fix it.          destroyUserData() sort of had the reverse bug, although I don't think it     actually mattered.  My concern there was that destroying the internal     storage first would bypass vold's destroyKey() for the volume keys.     However, that's okay since the volume keys don't actually need a special     destruction procedure in this case.  Also, internal storage has already     been locked when destroyUserData() runs anyway.          Test: On Cuttlefish:     $ sm partition disk:253,32 private     $ pm create-user 10     $ pm remove-user 10     Checked logcat for expected messages.     Bug: 231387956     Change-Id: I146d8c786c6b923aed7f8c748db8a7e90c96687f     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0]","1","1","1"
"Rename CachedBluetoothDevice.setMemberDevice to addMemberDevice          Also fixes some typos.          Test: builds successfully     Change-Id: I39242b40ebe154b8b89f00f48ea320b18f56ecd7     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0]","1","1","1"
"Allow getting/setting app exclusion list for specific vpn profile          Provide a way for the system Setting app or other similar system     apps to set the app exclusion list for the specific VPN from     VpnManager. The list affects only VPN provisioned from     VpnManager to keep the design consistence for app using     VpnService.          The list is stored in the keystore for its persistence.          Bug: 192078259     Test: atest FrameworksNetTests CtsNetTestCases     Change-Id: I157823866e1899b40aa36ea2c0bc4a80370108be     ","[0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","1","1","1"
"Add String for state DATA_HANDOVER_IN_PROGRESS          dataStateToString() will return string value of state     DATA_HANDOVER_IN_PROGRESS          Test: build & verified with AVD     Change-Id: I80e9bfd893144d1b23d6925a94e6569c10b7baa7     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","1","1","1"
"Add to/from disk stable format          This change adds a utility to convert persistable bundles to and from     disk-stable byte arrays.          Test: atest FrameworksVcnTests:PersistableBundleUtilsTest     Change-Id: Ifafb7081ec6a34ce3ab8e2aa502d46411405cb6d     ","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Freeze all package processes before killing` am: beccf603e8          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2080733          Change-Id: I5b7a58919348bf8ac70cb16f365dddca0a20e8f3     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Make binderDied(IBinder who) public API          Expose the binderDied() variant that supplies the IBinder that has     become invalid.          Bug: 207163286     CTS-Coverage-Bug: 214327236     Test: atest BinderDeathDispatcherTest     Change-Id: I7193e29287dcc5c2a6447514c84840eca8adf61f     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Add Activity Recognition to default grants for Home app on Wear.          Bug: 228252687     Test: Home app is granted Activity Recognition by default     Change-Id: I1084fc266ef5a2163fea95aa2ead22175ce18d2e     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","1","1","1"
"Merge `Freeze all package processes before killing`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge SP2A.220505.002          Bug: 231319788     Merged-In: I7707d01be37582461227edcecf5d559f2019c8a5     Change-Id: I1dad245a352258f2a0017b85f14c99f305d8d660     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Do not purge process groups on system_server startup` am: 9e68daf1c8          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2080239          Change-Id: I85c5ea5d18722c691677d74ab39fa06ad2d066c1     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Do not purge process groups on system_server startup`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Capitalize TZ display name strings` am: 6576601e82          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2055926          Change-Id: I2910c29b49c558c97ff56abb740fe64b277f1b7b     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Capitalize TZ display name strings`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Update API doc for accidentally exposed NETWORK_TYPE_BITMASK_LTE_CA` am: 2ca9a7aeaa          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2083964          Change-Id: Ia0cd9db993d4ed0f40c64bf07dc4ea1176026a5e     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Update API doc for accidentally exposed NETWORK_TYPE_BITMASK_LTE_CA`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Upload f2fs fscklog          Bug: 230637147     Signed-off-by: Jaegeuk Kim <jaegeuk@google.com>     Change-Id: I20568355f201bad371daae4e9a7fcc1bcd208e1d     ","[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","0","1","1"
"Merge `UsageStatsService: don't create stuff directly in /data/system_de` am: d24351d56e          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2080465          Change-Id: I7c229e0c11629cb29423d7142d689ba9f49bda19     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Keep the fsck log in /dev/fscklogs/fsck for bug report          Let's keep the log for bug report.          Bug: 230637147     Signed-off-by: Jaegeuk Kim <jaegeuk@google.com>     Change-Id: I4392c8b6d0332a18ea9302bdf53f902fde6d03dd     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]","1","1","1"
"UsageStatsService: don't create stuff directly in /data/system_de          /data/system_de is only for per-user data; it *must* only contain     per-user encrypted directories.  Only vold should ever create anything     directly in this directory.  In preparation for removing system_server's     write access to this directory (https://r.android.com/2078213), make     UsageStatsService store its globalcomponentusage file at     /data/system/usagestats/globalcomponentusage instead of     /data/system_de/usagestats/globalcomponentusage.          Migration happens lazily, except that the old file and directory aren't     ever deleted since the SELinux policy will no longer allow system_server     to do that; the old file just stops being used.  vold will need to     handle the cleanup instead, or we could just leave the file around.          Note that before Android 11, UsageStatsService stored per-user stats in     /data/system/usagestats/$userId.  These per-user stats are *not* the     same thing as globalcomponentusage, which was added in Android 12.     UsageStatsService contains code to migrate the per-user stats to     /data/system_ce/$userId/usagestats.  This is fine, and is the right     thing to do, since the per-user stats are potentially sensitive per-user     data.  This does mean that UsageStatsService now implements two types of     migrations, and that the source directory for one migration is the     target directory for the other, which is a bit unfortunate.  However,     since different files are involved in each one, it all works out.          Bug: 156305599     Change-Id: I53c16640e8ed8b7eac111990f1cdb3f59579e051     ","[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 4, 0, 1, 7, 0]","1","1","1"
"Merge `UserDataPreparer: only delete contents of user's system CE and DE dirs` am: 697b47b692          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2077725          Change-Id: I73c654436e48d08a48447984f4e0ac44b072626b     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Update API doc for accidentally exposed NETWORK_TYPE_BITMASK_LTE_CA          NETWORK_TYPE_BITMASK_LTE_CA is not used anywhere even if it's     accidentally passed into setAllowedNetworkTypesForReason(). Will be deprecated in U.          Fix: 230383206     Test: atest cts/tests/tests/telephony/current/src/android/telephony/cts/TelephonyManagerTest.java     Change-Id: Id0c521c4fb74eaf7d73deaf122e923f72b924c18     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]","1","1","1"
"Merge `UserDataPreparer: only delete contents of user's system CE and DE dirs`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Fixes UMS.getPreCreatedUserLU() to ignore partial pre-created users.` am: 416502831f          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2081778          Change-Id: I9cea9cced11e692204db4fff95d75f483e11d196     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Fixes UMS.getPreCreatedUserLU() to ignore partial pre-created users.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Freeze all package processes before killing          Apps are able to prevent their death by forking multiple processes     under different services and monitoring for the death of any of these.     When a child death is detected, the remaining process restarts the     terminating/terminated service before it's able to be killed itself.     This is now prevented by freezing all processes before killing any of     them so that no process can react to the death of another.          Bug: 148425913     Test: vsoc_arm64:/ $ monkey -p com.haok.nirvana 1     Test: bash arg: -p     Test: bash arg: com.haok.nirvana     Test: bash arg: 1     Test: args: [-p, com.haok.nirvana, 1]     Test: arg: `-p`     Test: arg: `com.haok.nirvana`     Test: arg: `1`     Test: data=`com.haok.nirvana`     Test: Events injected: 1     Test: ## Network stats: elapsed time=3200ms (0ms mobile, 0ms wifi, 3200ms not connected)     Test: vsoc_arm64:/ $ ps -eo pid,uid,ppid,name|grep 10088     Test: 6827 10088  2973 com.haok.nirvana     Test: 6850 10088  2973 com.haok.nirvana:resident     Test: 6867 10088  2973 android.media     Test: 6895 10088     1 app_d     Test: 6899 10088     1 app_d     Test: vsoc_arm64:/ $ am force-stop com.haok.nirvana     Test: vsoc_arm64:/ $ ps -eo pid,uid,ppid,name |grep 10088     Test: 1|vsoc_arm64:/ $     Test: Also tested manually on Pixel 6 Pro     Change-Id: Ib0231eaf4b11b15a3d6bac5dc5486844f0f81d18     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 0]","1","1","1"
"Merge `Cleanup user data when user stopped` am: 03d7a23d36          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2080242          Change-Id: I021a2e75e8afc606ba98eb43c61d3f61606af7b2     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Log TelephonyAnomalyDetected event from AnomalyReporter` am: dd570fd0a6          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2080238          Change-Id: I121d766302253c83dbc50a438804d068951e3297     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Even more libcore benchmark tests.` am: 14fff66fa2          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/2074938          Change-Id: Iaa17e7f4654614e685660aecc18e35f7809e776b     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge changes from topics `CATEGORY_ERROR_IKE`, `CATEGORY_ERROR_NETWORK`, `CATEGORY_ERROR_USER_DEACTIVATED`, `CATEGORY_EVENT_ALWAYS_ON_STATE_CHANGED` am: c45eb2877a          Original change: https://android-review.googlesource.com/c/platform/frameworks/base/+/1951462          Change-Id: I03bb4d1ff90cb7b62db4ce2b8711626e59bca58a     Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Cleanup user data when user stopped`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"UserDataPreparer: only delete contents of user's system CE and DE dirs          The /data/system_ce/$userId and /data/system_de/$userId directories are     created by vold, so they should be deleted by vold as well, and in fact     that would already happen except that system_server deletes them     recursively before vold gets to it.  Change system_server to delete just     the contents of these directories.          This is a prerequisite to locking down the ability to create these     directories (https://r.android.com/2078213), which is needed to stop     subdirectories from accidentally being created too early.  Technically     we could achieve this goal without limiting delete access, as it's     create access that really matters, but having the operations be paired     properly is much cleaner.          Test: Created and deleted a user, and verified that all their     directories still got deleted.     Test: atest UserDataPreparerTest     Bug: 156305599     Change-Id: Iec908e1bc15a00c7179fcd1d80321c315682d339     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 2, 0]","1","1","1"
"Merge `Log TelephonyAnomalyDetected event from AnomalyReporter`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","0","0"
"Do not purge process groups on system_server startup          Removing all process groups during system_server startup can race with     process group creation from init which results in occasional failure to     create a process group and failure to boot the device.     Move process group purging into init to prevent such a race.          Bug: 228160715     Signed-off-by: Suren Baghdasaryan <surenb@google.com>     Change-Id: I2e50f53c9692424c994c0b4ee6f1e2762632c3bc     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","1","1","1"
"Fixes UMS.getPreCreatedUserLU() to ignore partial pre-created users.          Test: atest android.car.cts.PreCreateUsersHostTest#testAppPermissionsPreCreatedUserPackages # on automotive     Fixes: 229814265          Change-Id: I7c6b90e2c4af5ff0482c5445c1986d389e6a6610     Merged-In: I7c6b90e2c4af5ff0482c5445c1986d389e6a6610     (cherry picked from commit f173defe6eb0671b1934f757985956d1daf02741)     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Even more libcore benchmark tests.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge changes from topics `CATEGORY_ERROR_IKE`, `CATEGORY_ERROR_NETWORK`, `CATEGORY_ERROR_USER_DEACTIVATED`, `CATEGORY_EVENT_ALWAYS_ON_STATE_CHANGED`          * changes:     Send VPN manager event when there is a network error     Send VPN manager event when there is an IkeProtocolException     Send VPN manager event when VPN is deactivated     Send VPN manager event when VPN always-on status is changed     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Send VPN manager event when there is a network error          Bug: 191413541     Test: atest FrameworksNetTests:VpnTest     Change-Id: I767e23750ccf12c0c787a3ec23d4a520dc5bb570     ","[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 0, 0]","1","1","1"
"Send VPN manager event when there is an IkeProtocolException          Bug: 191413541     Test: atest FrameworksNetTests:VpnTest     Change-Id: Iff00d1f2728d36b23d58bda122f02d7676f49323     ","[0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 1, 0, 0]","1","1","1"
"Send VPN manager event when VPN is deactivated          Bug: 191413541     Test: atest FrameworksNetTests:VpnTest     Change-Id: I35fc360204f0227a969ff2b12a4c47f701a55a9c     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","1","1","1"
